Name,Artist,Album,Track Number
Lotus Flower,Radiohead,The King Of Limbs,5
Bloom,Radiohead,The King Of Limbs,1
15 Step,Radiohead,In Rainbows,1
Weird Fishes/Arpeggi,Radiohead,In Rainbows,4
Kid A,Radiohead,Kid A,2
Morning Mr Magpie,Radiohead,The King Of Limbs,2
The Gloaming,Radiohead,Hail To The Thief (Collector's Edition),8
Separator,Radiohead,The King Of Limbs,8
Pyramid Song,Radiohead,Amnesiac (Collector's Edition),2
Nude,Radiohead,In Rainbows,3
I Might Be Wrong,Radiohead,Amnesiac (Collector's Edition),5
"There, There",Radiohead,Hail To The Thief (Collector's Edition),9
Karma Police,Radiohead,OK Computer (Collector's Edition),6
Myxomatosis,Radiohead,Hail To The Thief (Collector's Edition),12
Feral,Radiohead,The King Of Limbs,4
Idioteque,Radiohead,Kid A (Collector's Edition),8
Give Up The Ghost,Radiohead,The King Of Limbs,7
Exit Music (For A Film),Radiohead,OK Computer (Collector's Edition),4
Talk Show Host,Radiohead,The Bends (Collectors Edition),26
The National Anthem,Radiohead,Kid A (Collector's Edition),3
Planet Telex,Radiohead,The Bends (Collectors Edition),1
The One I Love,R.E.M.,Document (R.E.M. No. 5),7
Everything in Its Right Place,Radiohead,Kid A (Collector's Edition),1
Reckoner,Radiohead,In Rainbows,7
Paranoid Android,Radiohead,OK Computer (Collector's Edition),2
